t_star,V_star,time,volume,mass,mass_star
29531.25,0.5137877881358937,3150.0,322.1963219400189,0.9275491923419169,0.01645282426959839
30000.0,0.5136641149247249,3200.0,322.118766469295,0.9273684749556145,0.016449618713037246
30468.75,0.513456434940468,3250.0,321.9885303511675,0.9271928670304206,0.016446503787858703
30937.5,0.5133275683551471,3300.0,321.9077181155128,0.9270096074940337,0.016443253138758045
31406.25,0.5131318310692461,3350.0,321.78497126352426,0.9268203014707704,0.016439895237355465
31875.0,0.5129186943284801,3400.0,321.6513132133899,0.9266251973781758,0.016436434490069776
32343.75,0.5127369770946708,3450.0,321.53735833606805,0.9264302879550155,0.016432977195821426
32812.5,0.5125155772118172,3500.0,321.39851846953053,0.9263920925634819,0.01643229968774962
33281.25,0.5122800788228867,3550.0,321.2508374298323,0.9263026316959003,0.016430712835057086
33750.0,0.511878693940731,3600.0,320.99912897023245,0.9261658067572597,0.016428285840683374
34218.75,0.5114956240013242,3650.0,320.7589058112304,0.9260049769720797,0.016425433049462455
34687.5,0.5110422553372662,3700.0,320.4745983219997,0.9258514560125979,0.016422709901850546
35156.25,0.510679894549867,3750.0,320.2473618722216,0.9257586751100862,0.016421064158533425
35625.0,0.5103143749318589,3800.0,320.0181445197687,0.9256169649994006,0.016418550511206054
36093.75,0.5098566048049783,3850.0,319.7310768732019,0.9254534029925555,0.016415649255964795
36562.5,0.5093653538748375,3900.0,319.4230134149106,0.9252754987218275,0.016412493598316376
37031.25,0.5088723788941635,3950.0,319.11386880452994,0.9250901587329564,0.016409206046246683
37500.0,0.5083434746484298,4000.0,318.7821929520303,0.9249050284011084,0.01640592221306348
37968.75,0.5078044825570754,4050.0,318.44419101154205,0.924715867225489,0.016402566880961644
38437.5,0.5072662809845222,4100.0,318.1066848053939,0.924528189274962,0.01639923785823725
38906.25,0.506608872364135,4150.0,317.6944238595491,0.9243347880280812,0.016395807315949334
39375.0,0.505870536030397,4200.0,317.231413144662,0.9241438995796615,0.016392421345563207
39843.75,0.5050721151774168,4250.0,316.73072342775805,0.9239444102067504,0.01638888281238
40312.5,0.5043190440250966,4300.0,316.2584725081381,0.9237420341924315,0.016385293076086268
40781.25,0.5035625521569153,4350.0,315.7840764576016,0.9235397252592025,0.016381704529673777
41250.0,0.5027705487381414,4400.0,315.2874111136885,0.9233420630045446,0.016378198405828843
