t_star,0,t0,1,t1,2,t2,3,t3,dev0,dev1,dev2,dev3
48200,0.030230274677789475,3653.0526315789475,0.03330242833666667,2570.6666666666665,0.028139521235333333,5141.333333333333,0.028158131834,11567.999999999998,0.0,7.680384147192984,5.226883606140355,5.180357109473687
48300,0.030244412837789475,3660.6315789473683,0.033315575029999996,2576.0,0.02815496653,5152.0,0.02817470696,11591.999999999998,0.0,7.6779054805263005,5.223615769473691,5.1742646944736865
48400,0.030258094611263157,3668.2105263157896,0.03332871283666666,2581.3333333333335,0.028170041383333334,5162.666666666667,0.028189077834,11615.999999999998,0.0,7.676545563508763,5.220133069824559,5.172541943157891
48500,0.030270973558421052,3675.7894736842104,0.03334182398333333,2586.6666666666665,0.028185108526666666,5173.333333333333,0.02820396594,11639.999999999998,0.0,7.6771260622806965,5.2146625793859664,5.167519046052633
48600,0.030283897475894737,3683.3684210526317,0.033354965682,2592.0,0.028200550632,5184.0,0.028225531983999998,11663.999999999998,0.0,7.677670515263152,5.208367109736846,5.145913729736849
48700,0.030297244455052632,3690.9473684210525,0.03336815830066667,2597.3333333333335,0.02821581783,5194.666666666667,0.028249655221999997,11687.999999999998,0.0,7.677284614035088,5.20356656263158,5.118973082631588
48800,0.030310988095473685,3698.5263157894738,0.03338151593533333,2602.6666666666665,0.028230303675333333,5205.333333333333,0.028269665838,11711.999999999998,0.0,7.676319599649117,5.201711050350881,5.103305643684216
48900,0.030324555165578946,3706.1052631578946,0.033395038586,2608.0,0.028244721742,5216.0,0.028287156073999998,11735.999999999998,0.0,7.676208551052636,5.1995835589473645,5.09349772894737
49000,0.030337910896842103,3713.684210526316,0.03340882334,2613.3333333333335,0.02825973177,5226.666666666667,0.02830721274,11759.999999999998,0.0,7.677281107894736,5.195447817105255,5.0767453921052565
49100,0.030351149103578945,3721.2631578947367,0.033422765356,2618.6666666666665,0.028275099589333334,5237.333333333333,0.028325062553999997,11783.999999999998,0.0,7.679040631052639,5.190123785614028,5.06521637394737
49200,0.030364691485052633,3728.842105263158,0.03343671266,2624.0,0.028290195936,5248.0,0.028344172702,11807.999999999998,0.0,7.680052937368417,5.186238872631581,5.05129695763158
49300,0.030378120303789474,3736.4210526315787,0.033450661726666664,2629.3333333333335,0.028305252516666667,5258.666666666667,0.028362666023999998,11831.999999999998,0.0,7.681353557192974,5.182169467807017,5.038635699473691
49400,0.030390883452,3744.0,0.03346451263933333,2634.6666666666665,0.028320497171333333,5269.333333333333,0.028377658196,11855.999999999998,0.0,7.684072968333326,5.1759657016666685,5.0330631399999985
49500,0.030403188446842106,3751.5789473684213,0.03347834953,2640.0,0.02833537997,5280.0,0.02839030558,11879.999999999998,0.0,7.687902707894734,5.169521192105262,5.032207167105264
49600,0.03041594611168421,3759.157894736842,0.03349213235666667,2645.3333333333335,0.028350024712,5290.666666666667,0.028401306208,11903.999999999998,0.0,7.690465612456149,5.164803499210527,5.036599759210524
49700,0.030428944355894737,3766.7368421052633,0.03350587082,2650.6666666666665,0.02836569948,5301.333333333333,0.028413658419999998,11927.999999999998,0.0,7.692316160263155,5.158112189736844,5.038214839736846
49800,0.030441591730736843,3774.315789473684,0.03351929874,2656.0,0.028382578794,5312.0,0.028437569136,11951.999999999998,0.0,7.6942675231578965,5.1475323418421075,5.01005648684211
49900,0.030453833837684213,3781.8947368421054,0.03353274329733333,2661.3333333333335,0.028399249895333333,5322.666666666667,0.028454682468000002,11975.999999999998,0.0,7.6972736491227876,5.1364598558772,4.997878424210529
50000,0.030465724228421052,3789.4736842105262,0.03354623776666667,2666.6666666666665,0.028414059203333335,5333.333333333333,0.02846185067,11999.999999999998,0.0,7.701283845614036,5.129162562719294,5.00968389605263
50100,0.030477589004,3797.0526315789475,0.033559808412,2672.0,0.028426290098,5344.0,0.028474658636,12023.999999999998,0.0,7.705548519999997,5.1282472650000015,5.007325920000005
50200,0.03048964982631579,3804.6315789473683,0.03357350601733333,2677.3333333333335,0.02843653297266667,5354.666666666667,0.028493807542,12047.999999999998,0.0,7.709640477543854,5.132792134122802,4.989605710789477
50300,0.030501836465157892,3812.2105263157896,0.033587299412,2682.6666666666665,0.028446391111333333,5365.333333333333,0.028504002128,12071.999999999998,0.0,7.713657367105263,5.138613384561398,4.994585842894731
50400,0.030514022722842104,3819.7894736842104,0.033601188595999996,2688.0,0.028457085118000002,5376.0,0.028515938522,12095.999999999998,0.0,7.717914682894731,5.142344012105254,4.99521050210526
50500,0.030526196262631578,3827.3684210526317,0.03361536297333333,2693.3333333333335,0.028468562856666667,5386.666666666667,0.02853519912,12119.999999999998,0.0,7.722916776754388,5.1440835149122766,4.9774928565789445
50600,0.030538450620421053,3834.9473684210525,0.033629708466666665,2698.6666666666665,0.02848028407,5397.333333333333,0.028560222298,12143.999999999998,0.0,7.728144615614029,5.145416376052632,4.945570806052634
50700,0.030550580811578947,3842.5263157894738,0.03364417244,2704.0,0.02849219935,5408.0,0.028581855834,12167.999999999998,0.0,7.733979071052636,5.145953653947367,4.921812443947366
50800,0.03056237066736842,3850.1052631578946,0.03365867590666667,2709.3333333333335,0.028504528119333336,5418.666666666667,0.028592170626,12191.999999999998,0.0,7.740763098245631,5.144606370087708,4.925500103421053
50900,0.030573760157894737,3857.684210526316,0.03367325169266667,2714.6666666666665,0.02851757275133333,5429.333333333333,0.028609157848,12215.999999999998,0.0,7.7487288369298275,5.1404685164035175,4.9115057747368445
51000,0.030584982122105264,3865.2631578947367,0.03368783781,2720.0,0.02853140348,5440.0,0.02863112854,12239.999999999998,0.0,7.757139219736849,5.133946605263163,4.884633955263163
51100,0.030595920004947368,3872.842105263158,0.033702884642000004,2725.3333333333335,0.028545642728666668,5450.666666666667,0.028648514418,12263.999999999998,0.0,7.767411592631592,5.125693190701748,4.868513967368421
51200,0.030606555341789472,3880.4210526315787,0.03371794978333333,2730.6666666666665,0.02856027861,5461.333333333333,0.028665976302,12287.999999999998,0.0,7.778486103859652,5.115691829473681,4.851447599473679
51300,0.030618007874,3888.0,0.03373314309,2736.0,0.0285748637,5472.0,0.028685659437999996,12311.999999999998,0.0,7.787838040000001,5.1078604349999965,4.830871090000009
51400,0.03062924801568421,3895.5789473684213,0.03374829400466667,2741.3333333333335,0.028589013396,5482.666666666667,0.028702485696,12335.999999999998,0.0,7.797614972456148,5.100586549210521,4.81690579921052
